on x=-16..31,y=1..46,z=-4..43
on x=-25..20,y=-25..28,z=-48..-3
on x=-1..48,y=-8..36,z=-12..41
on x=-14..38,y=-46..0,z=-33..15
on x=-36..14,y=-35..14,z=-24..28
on x=-13..37,y=-36..8,z=-24..21
on x=-43..11,y=-48..6,z=-12..39
on x=-20..29,y=-45..5,z=-42..11
on x=-32..21,y=-9..45,z=-26..18
on x=-3..43,y=-38..14,z=-10..36
off x=-13..1,y=9..26,z=18..33
on x=-5..43,y=-2..49,z=-41..9
off x=-15..-1,y=-46..-32,z=-43..-29
on x=-3..46,y=-10..34,z=-35..19
off x=-44..-25,y=10..27,z=-46..-29
on x=-33..20,y=-35..14,z=-32..18
off x=-10..4,y=-33..-21,z=16..35
on x=-6..44,y=-11..39,z=-9..43
off x=-40..-30,y=-35..-25,z=-42..-27
on x=-45..7,y=-12..41,z=-19..35
on x=-16626..-5358,y=65839..74495,z=29415..38920
on x=11538..27407,y=-83170..-62776,z=-39346..-27107
on x=-30148..-7832,y=19050..44636,z=-78637..-67274
on x=-42884..-16251,y=-90039..-71861,z=-5240..8756
on x=-74438..-63179,y=39217..44062,z=-39956..-7545
on x=-86334..-69841,y=3354..16304,z=-31270..-3793
on x=-1236..-311,y=41066..80091,z=-64115..-48420
on x=-79806..-53833,y=-61996..-36600,z=-4523..13558
on x=75813..85464,y=-2925..22451,z=422..17494
on x=-46893..-33468,y=-16111..-8063,z=54555..76734
on x=-8758..18245,y=55024..83027,z=-59650..-35022
on x=-27699..-5940,y=-83756..-56570,z=-42866..-21950
on x=73920..81095,y=-25253..-8409,z=2743..14735
on x=35818..41904,y=-57650..-41233,z=27973..61207
on x=29959..59740,y=-38895..-21398,z=-65078..-60454
on x=40127..64417,y=-64447..-52833,z=-8592..14482
on x=64969..96459,y=-23166..1188,z=-25001..2693
on x=-143..29601,y=-83445..-67771,z=-9638..-7783
on x=-60213..-45765,y=-53615..-19163,z=-52850..-39718
on x=19768..47655,y=69461..74219,z=-4463..16237
on x=46138..61661,y=-63285..-51050,z=9780..21893
on x=-27642..-12656,y=25894..46430,z=61246..76823
on x=-65790..-39877,y=40195..63446,z=-2899..11490
on x=49291..72263,y=-50811..-26583,z=-20941..-5171
on x=43500..64276,y=12863..21473,z=54519..73780
on x=46844..73861,y=-16675..-2479,z=-47642..-25535
on x=-38804..-29011,y=-67818..-52416,z=-61006..-43171
on x=1476..21276,y=-9840..-6534,z=-85982..-60406
on x=-49568..-20033,y=-68783..-52200,z=31854..65658
on x=-76725..-67570,y=-4561..14897,z=-38772..-8804
on x=-55244..-26894,y=-36916..-934,z=48540..70261
on x=-41119..-16974,y=16600..40627,z=58244..70088
on x=3316..25661,y=-12050..-1558,z=-99062..-70346
on x=45001..70541,y=-33078..-2030,z=52228..72036
on x=-67378..-51926,y=-72562..-47073,z=6195..26804
on x=55900..80560,y=-57308..-33974,z=-17793..-9736
on x=-29945..-7557,y=-95561..-58463,z=-9932..7238
on x=8449..36405,y=-76928..-68845,z=-23326..757
on x=-34111..-8335,y=-19697..-3799,z=66119..83203
on x=-36514..-4829,y=49252..76336,z=29521..56642
on x=11206..38344,y=47029..70722,z=30062..49138
on x=-55423..-33064,y=-70039..-63720,z=538..17442
on x=-14042..9000,y=78992..82671,z=939..18684
on x=-64272..-55953,y=-62880..-46525,z=-20251..-12223
on x=56784..83081,y=-53146..-23655,z=-22242..-376
on x=-72515..-54296,y=20329..32675,z=-48741..-36672
on x=-37591..-14405,y=-78283..-60946,z=-27261..-13754
on x=-7827..4332,y=59740..82815,z=6353..26827
on x=32544..39071,y=37014..61832,z=-58551..-43422
on x=-17870..1502,y=40727..57792,z=-67559..-56495
on x=-89322..-54056,y=-30501..-9285,z=19617..43415
on x=-51038..-20752,y=64717..81878,z=-43867..-12998
on x=47396..69956,y=-33858..113,z=-63348..-43854
on x=7217..23792,y=-74758..-64728,z=-42951..-23023
on x=66415..85414,y=-14449..19269,z=7812..13458
on x=26596..51516,y=63127..86109,z=-17075..8711
on x=27887..44175,y=51326..76134,z=-17583..12578
on x=-26245..-4662,y=-87359..-53408,z=29011..44615
on x=50041..68185,y=-72545..-50449,z=771..26455
on x=-53882..-23346,y=61979..69412,z=-14830..403
on x=-92395..-71742,y=8500..31184,z=-30948..3326
on x=-84689..-61365,y=-5903..-5045,z=-16904..4053
on x=2428..14437,y=-34803..-23153,z=-87517..-69099
on x=-32827..-8995,y=-87108..-49977,z=15664..50808
on x=49790..61799,y=-66565..-55646,z=-13400..9149
on x=65152..90550,y=6393..32550,z=-26986..2769
on x=-17765..4636,y=68602..99811,z=-21823..4508
on x=16493..40766,y=-60273..-32161,z=-64629..-34942
on x=2763..10738,y=-84795..-68975,z=-36158..-21112
on x=47015..72584,y=-43148..-36236,z=-41625..-21182
on x=-34469..-16168,y=-18103..-3805,z=-90141..-63881
on x=-5626..21545,y=-52157..-28783,z=-79195..-67791
on x=9088..41761,y=49408..67441,z=-51281..-29791
on x=-83591..-46808,y=1450..17985,z=39684..58556
on x=7209..43400,y=-84613..-70397,z=8338..27012
on x=63618..91669,y=-2593..20510,z=14081..35656
on x=-67238..-58196,y=-47018..-38371,z=-41182..-25445
on x=13678..24060,y=71418..94729,z=-28691..2217
on x=3387..21883,y=64793..81377,z=20775..42439
